state,dem_candidate,gop_candidate,current_holder,race_tier,polling_margin_dem,fundamentals_margin_dem,adjusted_fundamentals_margin_dem,model_margin_dem,pre_sim_dem_win_prob,elasticity,tier_error_multiplier,dem_win_counts_for_seat_change,simulated_dem_win_prob,avg_simulated_margin_dem,tipping_count,tipping_share_of_control_sims
Alabama,Democratic nominee TBD,Republican nominee TBD,R-open,UltraSafe,-25.0,-25.014805519950897,-19.129805519950896,-21.393091613925385,0.02004252285657159,0.55,0.45,1,4e-05,-21.370162450012884,1,3.7572797294758594e-05
Arkansas,Democratic nominee TBD,Tom Cotton,R,UltraSafe,-28.0,-28.014805519950897,-22.664805519950896,-24.721819391703164,0.011042758170276433,0.5,0.45,1,2e-05,-24.71258069407348,1,3.7572797294758594e-05
Idaho,Democratic nominee TBD,Republican nominee TBD,R,UltraSafe,-30.0,-30.014805519950897,-25.199805519950896,-27.05054716948094,0.0072586139135563475,0.45,0.45,1,0.0,-27.044435905423928,0,0.0
Kansas,Democratic nominee TBD,Roger Marshall,R,Safe,-16.0,-16.01480551995089,-8.52480551995089,-11.406908280592047,0.11165133973386936,0.7,0.65,1,0.01268,-11.382794469387093,316,0.011873003945143717
Kentucky,Pamela Stevenson / Charles Booker / Amy McGrath primary,Andy Barr / Daniel Cameron primary,R-open,Safe,-20.0,-20.01480551995089,-13.594805519950889,-16.0643638361476,0.051135189931410675,0.6,0.65,1,0.00082,-16.045458038279044,25,0.0009393199323689649
Louisiana,Democratic nominee TBD,Julia Letlow / John Fleming runoff,R,Safe,-18.0,-18.01480551995089,-11.594805519950889,-14.064363836147601,0.07194713656371426,0.6,0.65,1,0.0033,-14.024706158662333,75,0.0028179597971068945
Mississippi,Democratic nominee TBD,Cindy Hyde-Smith,R,Safe,-17.0,-17.01480551995089,-10.594805519950889,-13.064363836147601,0.08507266452383373,0.6,0.65,1,0.00538,-13.046348179849666,134,0.005034754837497652
Montana,Democratic nominee TBD,Republican nominee TBD,R-open,Safe,-15.0,-15.014805519950892,-8.059805519950892,-10.735636058369826,0.12434264689789074,0.65,0.65,1,0.018,-10.719053448102954,460,0.017283486755588953
Nebraska,Democratic / Independent nominee TBD,Pete Ricketts,R,Safe,-18.0,-18.01480551995089,-12.129805519950889,-14.393091613925378,0.06805702008572348,0.55,0.65,1,0.00242,-14.367794234523911,57,0.00214164944580124
Oklahoma,Troy Green / Jim Priest / N'Kiyla Thomas primary,Kevin Hern / William Buckner / Gary Ty England / GOP primary,R-open,UltraSafe,-30.0,-30.014805519950897,-25.199805519950896,-27.05054716948094,0.0072586139135563475,0.45,0.45,1,0.0,-27.02954414461506,0,0.0
South Carolina,Annie Andrews / Brandon Brown / Kyle Freeman primary,Lindsey Graham / Republican primary,R,Safe,-12.0,-12.01480551995089,-4.52480551995089,-7.406908280592047,0.2064086693450078,0.7,0.65,1,0.07452,-7.399489057466828,2241,0.08420063873755401
South Dakota,Democratic nominee TBD,Mike Rounds,R,UltraSafe,-25.0,-25.014805519950897,-19.664805519950896,-21.721819391703164,0.0189016830453202,0.5,0.45,1,4e-05,-21.699221199011653,0,0.0
Tennessee,Democratic nominee TBD,Bill Hagerty,R,UltraSafe,-22.0,-22.014805519950897,-16.129805519950896,-18.393091613925385,0.034085657105655386,0.55,0.45,1,0.00014,-18.372775249373735,3,0.00011271839188427579
West Virginia,Democratic nominee TBD,Shelley Moore Capito,R,UltraSafe,-30.0,-30.014805519950897,-25.199805519950896,-27.05054716948094,0.0072586139135563475,0.45,0.45,1,0.0,-27.04639409305461,0,0.0
Wyoming,James W. Byrd,Harriet Hageman / Sam Mead / Jimmy Skovgard primary,R-open,UltraSafe,-35.0,-35.0148055199509,-30.734805519950896,-32.37927494725872,0.0027672203242821445,0.4,0.45,1,0.0,-32.36093151222631,0,0.0
