simulation,dem_seats,dem_control,national_error
779,49.0,0,-3.341243946630902
780,54.0,1,3.0470282465471676
781,46.0,0,-8.966571663986308
782,54.0,1,4.180576260476485
783,53.0,1,2.5372344635407535
784,49.0,0,-2.8104036549460036
785,46.0,0,-5.095661274690255
786,49.0,0,-2.087494776500072
787,52.0,1,1.1147653857719249
788,50.0,0,0.6076509092410757
789,47.0,0,-8.469827103570566
790,52.0,1,0.9771980937020921
791,54.0,1,3.4270944540003168
792,53.0,1,2.236942501650681
793,52.0,1,-0.04821964853585337
794,49.0,0,-4.402843231325964
795,49.0,0,-1.7393358539117252
796,51.0,1,-1.4242931463224808
797,46.0,0,-7.498146913959267
798,50.0,0,0.1745749237562064
799,51.0,1,-3.0922067776722475
800,58.0,1,12.416229125700223
801,53.0,1,4.058620899241874
802,46.0,0,-7.791813294963698
803,49.0,0,-3.1618662216711333
804,48.0,0,-3.406626544426516
805,54.0,1,4.292285448939154
806,58.0,1,12.158017480445698
807,51.0,1,4.057300223664378
808,55.0,1,6.288766381415766
809,54.0,1,6.081324642688736
810,53.0,1,2.839551162982223
811,50.0,0,-4.945676852581715
812,54.0,1,4.781604365105182
813,47.0,0,-7.49656068275024
814,54.0,1,3.68908613083083
815,50.0,0,-1.6976050728844
816,50.0,0,1.9291130907634468
817,47.0,0,-6.65149469829954
818,50.0,0,-1.1645123638727837
819,51.0,1,-0.9244531158919688
820,53.0,1,3.056849968973415
